date,direction,option_type,spot,strike,score,entry_prem,exit_prem,gross_pnl,friction,net_pnl,win,exit_reason,wallet
2024-09-17,BULLISH,CE,5944.365203857422,5950.0,80.0,107.0,133.75,2675.0,120.0,2555.0,True,TARGET_HIT (+25%),102555.0
2024-09-19,BULLISH,CE,6007.824745178223,6000.0,100.0,108.14,135.18,2704.0000000000005,120.0,2584.0,True,TARGET_HIT (+25%),105139.0
2024-09-20,BULLISH,CE,6005.319847106934,6000.0,85.0,108.1,118.91,1081.0000000000002,120.0,961.0,True,TRAILING_SL (+10%),106100.0
2024-09-24,BULLISH,CE,5975.259796142578,6000.0,100.0,107.55,134.44,2689.0,120.0,2569.0,True,TARGET_HIT (+25%),108669.0
2024-10-01,BULLISH,CE,5830.805152893066,5850.0,80.0,104.95,131.19,2623.9999999999995,120.0,2504.0,True,TARGET_HIT (+25%),111173.0
2024-10-03,BULLISH,CE,6154.784923553467,6150.0,100.0,110.79,138.49,2770.0000000000005,120.0,2650.0,True,TARGET_HIT (+25%),113823.0
2024-10-04,BULLISH,CE,6210.7297706604,6200.0,100.0,111.79,139.74,2795.0000000000005,120.0,2675.0,True,TARGET_HIT (+25%),116498.0
2024-10-07,BULLISH,CE,6441.1899490356445,6450.0,100.0,115.94,144.93,2899.000000000001,120.0,2779.0,True,TARGET_HIT (+25%),119277.0
2024-10-08,BULLISH,CE,6143.094974517822,6150.0,85.0,110.58,97.31,-1326.9999999999995,120.0,-1447.0,False,STOP_LOSS (-12%),117830.0
2024-10-09,BULLISH,CE,6115.539821624756,6100.0,85.0,110.08,96.87,-1320.9999999999993,120.0,-1441.0,False,STOP_LOSS (-12%),116389.0
2024-10-10,BULLISH,CE,6333.474872589111,6350.0,100.0,114.0,142.5,2850.0,120.0,2730.0,True,TARGET_HIT (+25%),119119.0
2024-10-11,BULLISH,CE,6309.259796142578,6300.0,85.0,113.57,124.93,1136.0000000000014,120.0,1016.0,True,TRAILING_SL (+10%),120135.0
2024-10-14,BULLISH,CE,6164.805152893066,6150.0,85.0,110.97,97.65,-1331.9999999999993,120.0,-1452.0,False,STOP_LOSS (-12%),118683.0
2024-11-04,BULLISH,CE,5967.745101928711,5950.0,100.0,107.42,134.28,2686.0,120.0,2566.0,True,TARGET_HIT (+25%),121249.0
2024-11-05,BULLISH,CE,6011.164821624756,6000.0,100.0,108.2,135.25,2704.9999999999995,120.0,2585.0,True,TARGET_HIT (+25%),123834.0
2024-11-06,BULLISH,CE,5986.115203857422,6000.0,85.0,107.75,118.52,1076.9999999999995,120.0,957.0,True,TRAILING_SL (+10%),124791.0
2024-11-07,BULLISH,CE,6042.0600509643555,6050.0,100.0,108.76,135.95,2718.999999999998,120.0,2599.0,True,TARGET_HIT (+25%),127390.0
2024-11-21,BULLISH,CE,5853.349872589111,5850.0,100.0,105.36,131.7,2633.999999999999,120.0,2514.0,True,TARGET_HIT (+25%),129904.0
2024-11-22,BULLISH,CE,5948.539821624756,5950.0,100.0,107.07,133.84,2677.000000000001,120.0,2557.0,True,TARGET_HIT (+25%),132461.0
2024-12-03,BULLISH,CE,5839.990203857422,5850.0,100.0,105.12,131.4,2628.0,120.0,2508.0,True,TARGET_HIT (+25%),134969.0
2024-12-11,BULLISH,CE,5869.215076446533,5850.0,100.0,105.65,132.06,2640.9999999999995,120.0,2521.0,True,TARGET_HIT (+25%),137490.0
2024-12-12,BULLISH,CE,5846.669719696045,5850.0,85.0,105.24,92.61,-1262.9999999999995,120.0,-1383.0,False,STOP_LOSS (-12%),136107.0
2024-12-13,BULLISH,CE,5952.715076446533,5950.0,100.0,107.15,133.94,2678.999999999999,120.0,2559.0,True,TARGET_HIT (+25%),138666.0
2024-12-16,BULLISH,CE,5904.284923553467,5900.0,85.0,106.28,93.53,-1275.0,120.0,-1395.0,False,STOP_LOSS (-12%),137271.0
2024-12-17,BULLISH,CE,5851.680152893066,5850.0,85.0,105.33,92.69,-1264.0,120.0,-1384.0,False,STOP_LOSS (-12%),135887.0
2024-12-18,BULLISH,CE,5893.430152893066,5900.0,100.0,106.08,132.6,2651.9999999999995,120.0,2532.0,True,TARGET_HIT (+25%),138419.0
2024-12-19,BULLISH,CE,5837.485305786133,5850.0,85.0,105.07,115.58,1051.0000000000005,120.0,931.0,True,TRAILING_SL (+10%),139350.0
2024-12-20,BULLISH,CE,5799.909923553467,5800.0,80.0,104.4,114.84,1043.9999999999998,120.0,924.0,True,TRAILING_SL (+10%),140274.0
2024-12-24,BULLISH,CE,5853.349872589111,5850.0,100.0,105.36,131.7,2633.999999999999,120.0,2514.0,True,TARGET_HIT (+25%),142788.0
2024-12-27,BULLISH,CE,5895.099872589111,5900.0,100.0,106.11,132.64,2652.9999999999986,120.0,2533.0,True,TARGET_HIT (+25%),145321.0
2024-12-30,BULLISH,CE,5927.664821624756,5950.0,100.0,106.7,133.38,2667.999999999999,120.0,2548.0,True,TARGET_HIT (+25%),147869.0
2024-12-31,BULLISH,CE,5988.620101928711,6000.0,100.0,107.8,134.75,2695.0000000000005,120.0,2575.0,True,TARGET_HIT (+25%),150444.0
2025-01-02,BULLISH,CE,6106.3547706604,6100.0,100.0,109.91,137.39,2747.999999999999,120.0,2628.0,True,TARGET_HIT (+25%),153072.0
2025-01-03,BULLISH,CE,6175.659923553467,6200.0,100.0,111.16,138.95,2778.999999999999,120.0,2659.0,True,TARGET_HIT (+25%),155731.0
2025-01-06,BULLISH,CE,6142.259796142578,6150.0,85.0,110.56,97.29,-1326.9999999999995,120.0,-1447.0,False,STOP_LOSS (-12%),154284.0
2025-01-07,BULLISH,CE,6199.875,6200.0,100.0,111.6,139.5,2790.0000000000005,120.0,2670.0,True,TARGET_HIT (+25%),156954.0
2025-01-08,BULLISH,CE,6122.219974517822,6100.0,85.0,110.2,96.98,-1322.0,120.0,-1442.0,False,STOP_LOSS (-12%),155512.0
2025-01-09,BULLISH,CE,6172.319847106934,6150.0,100.0,111.1,138.88,2778.0,120.0,2658.0,True,TARGET_HIT (+25%),158170.0
2025-01-10,BULLISH,CE,6393.594974517822,6400.0,100.0,115.08,143.85,2876.9999999999995,120.0,2757.0,True,TARGET_HIT (+25%),160927.0
2025-01-13,BULLISH,CE,6581.469974517822,6600.0,100.0,118.47,148.09,2962.0000000000005,120.0,2842.0,True,TARGET_HIT (+25%),163769.0
2025-01-14,BULLISH,CE,6471.25,6450.0,85.0,116.48,102.5,-1398.0000000000005,120.0,-1518.0,False,STOP_LOSS (-12%),162251.0
2025-01-15,BULLISH,CE,6683.340076446533,6700.0,100.0,120.3,150.38,3008.0,120.0,2888.0,True,TARGET_HIT (+25%),165139.0
2025-01-16,BULLISH,CE,6569.780025482178,6550.0,85.0,118.26,104.07,-1419.0000000000011,120.0,-1539.0,False,STOP_LOSS (-12%),163600.0
