date,direction,option_type,spot,strike,score,entry_prem,exit_prem,gross_pnl,friction,net_pnl,win,exit_reason,wallet
2024-09-17,BULLISH,CE,5944.365203857422,5950.0,80.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),1188.09
2024-09-19,BULLISH,CE,6007.824745178223,6000.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),1376.18
2024-09-20,BULLISH,CE,6005.319847106934,6000.0,85.0,95.0,104.5,95.0,49.41,45.59,True,TRAILING_SL (+10%),1421.77
2024-09-24,BULLISH,CE,5975.259796142578,6000.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),1609.86
2024-10-01,BULLISH,CE,5830.805152893066,5850.0,80.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),1797.95
2024-10-03,BULLISH,CE,6154.784923553467,6150.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),1986.04
2024-10-04,BULLISH,CE,6210.7297706604,6200.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),2174.13
2024-10-07,BULLISH,CE,6441.1899490356445,6450.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),2362.22
2024-10-08,BULLISH,CE,6143.094974517822,6150.0,85.0,95.0,83.6,-114.00000000000006,49.41,-163.41,False,STOP_LOSS (-12%),2198.81
2024-10-09,BULLISH,CE,6115.539821624756,6100.0,85.0,95.0,83.6,-114.00000000000006,49.41,-163.41,False,STOP_LOSS (-12%),2035.4
2024-10-10,BULLISH,CE,6333.474872589111,6350.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),2223.49
2024-10-11,BULLISH,CE,6309.259796142578,6300.0,85.0,95.0,104.5,95.0,49.41,45.59,True,TRAILING_SL (+10%),2269.08
2024-10-14,BULLISH,CE,6164.805152893066,6150.0,85.0,95.0,83.6,-114.00000000000006,49.41,-163.41,False,STOP_LOSS (-12%),2105.67
2024-11-04,BULLISH,CE,5967.745101928711,5950.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),2293.76
2024-11-05,BULLISH,CE,6011.164821624756,6000.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),2481.85
2024-11-06,BULLISH,CE,5986.115203857422,6000.0,85.0,95.0,104.5,95.0,49.41,45.59,True,TRAILING_SL (+10%),2527.44
2024-11-07,BULLISH,CE,6042.0600509643555,6050.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),2715.53
2024-11-21,BULLISH,CE,5853.349872589111,5850.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),2903.62
2024-11-22,BULLISH,CE,5948.539821624756,5950.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),3091.71
2024-12-03,BULLISH,CE,5839.990203857422,5850.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),3279.8
2024-12-11,BULLISH,CE,5869.215076446533,5850.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),3467.89
2024-12-12,BULLISH,CE,5846.669719696045,5850.0,85.0,95.0,83.6,-114.00000000000006,49.41,-163.41,False,STOP_LOSS (-12%),3304.48
2024-12-13,BULLISH,CE,5952.715076446533,5950.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),3492.57
2024-12-16,BULLISH,CE,5904.284923553467,5900.0,85.0,95.0,83.6,-114.00000000000006,49.41,-163.41,False,STOP_LOSS (-12%),3329.16
2024-12-17,BULLISH,CE,5851.680152893066,5850.0,85.0,95.0,83.6,-114.00000000000006,49.41,-163.41,False,STOP_LOSS (-12%),3165.75
2024-12-18,BULLISH,CE,5893.430152893066,5900.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),3353.84
2024-12-19,BULLISH,CE,5837.485305786133,5850.0,85.0,95.0,104.5,95.0,49.41,45.59,True,TRAILING_SL (+10%),3399.43
2024-12-20,BULLISH,CE,5799.909923553467,5800.0,80.0,95.0,104.5,95.0,49.41,45.59,True,TRAILING_SL (+10%),3445.02
2024-12-24,BULLISH,CE,5853.349872589111,5850.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),3633.11
2024-12-27,BULLISH,CE,5895.099872589111,5900.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),3821.2
2024-12-30,BULLISH,CE,5927.664821624756,5950.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),4009.29
2024-12-31,BULLISH,CE,5988.620101928711,6000.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),4197.38
2025-01-02,BULLISH,CE,6106.3547706604,6100.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),4385.47
2025-01-03,BULLISH,CE,6175.659923553467,6200.0,100.0,95.0,118.75,237.5,49.41,188.09,True,TARGET_HIT (+25%),4573.56
