signal_date,trade_date,direction,option_type,spot,entry_spot,vwap,ema_20,supertrend_dir,atr_14,rsi,vol_spike,adx,score,entry_premium,exit_premium,exit_reason,net_pnl_std
2025-08-07,2025-08-08,BEARISH,PE,5643.0,5643.0,5821.8,5960.86,-1,26.27,0.0,1.65,100.0,83.0,84.64,105.8,TARGET_HIT_+25%,2050.01
2025-08-08,2025-08-11,BEARISH,PE,5602.0,5602.0,5785.17,5926.68,-1,27.32,0.0,1.53,100.0,83.0,84.03,86.63,TIME_STAGNATION_EXIT_EOD,196.45
2025-08-21,2025-08-22,BEARISH,PE,5462.0,5462.0,5637.5,5701.48,-1,38.58,7.2,1.51,90.0,83.0,81.93,72.1,STOP_LOSS_HIT_-12%,-1044.61
2025-08-22,2025-08-25,BEARISH,PE,5525.0,5525.0,5630.0,5684.67,-1,40.32,11.1,1.52,86.6,83.0,82.88,72.93,STOP_LOSS_HIT_-12%,-1056.78
2025-08-29,2025-09-01,BULLISH,CE,5663.0,5663.0,5626.15,5658.35,1,50.43,24.8,1.59,64.9,83.0,84.94,74.75,STOP_LOSS_HIT_-12%,-1081.12
2026-03-06,2026-03-09,BULLISH,CE,7423.0,7423.0,5508.64,6214.86,1,146.87,84.9,1.5,29.0,83.0,111.34,139.18,TARGET_HIT_+25%,2712.07
2026-03-09,2026-03-10,BULLISH,CE,8334.0,8334.0,5527.11,6416.69,1,201.45,89.8,1.96,32.6,83.0,125.01,156.26,TARGET_HIT_+25%,3050.03
2026-03-10,2026-03-11,BULLISH,CE,8744.0,8744.0,5548.0,6638.34,1,216.35,91.2,2.0,36.1,83.0,131.16,115.42,STOP_LOSS_HIT_-12%,-1644.24
2026-03-16,2026-03-17,BULLISH,CE,9125.0,9125.0,5620.62,7246.16,1,317.49,76.3,2.13,38.1,87.0,136.88,120.45,STOP_LOSS_HIT_-12%,-1714.27
2026-03-17,2026-03-18,BULLISH,CE,8639.0,8639.0,5639.6,7378.81,1,329.53,68.3,2.05,38.0,87.0,129.59,161.99,TARGET_HIT_+25%,3164.03
2026-03-19,2026-03-20,BULLISH,CE,8905.0,8905.0,5680.11,7654.81,1,301.83,70.2,1.65,38.3,83.0,133.57,124.73,TIME_STAGNATION_EXIT_EOD,-955.58
