trade_no,date,asset,direction,option_type,lot_size,entry_premium,exit_premium,target_price,initial_stop_loss,gross_pnl,friction,net_pnl,exit_reason,composite_score,wallet_balance_after
1,2026-02-24,LTIM,BULLISH,CE,150,12.71,15.89,15.89,11.18,477.0,45.74,431.26,TARGET_HIT_+25%,85.4,10431.26
2,2026-02-25,MARUTI,BULLISH,CE,100,11.93,14.91,14.91,10.5,298.0,43.59,254.41,TARGET_HIT_+25%,80.25,10685.67
3,2026-03-04,KOTAKBANK,BEARISH,PE,400,12.04,10.6,15.05,10.6,-576.0,51.15,-627.15,STOP_LOSS_HIT_-12%,75.42,10058.52
4,2026-03-25,SBIN,BULLISH,CE,750,12.56,15.7,15.7,11.05,2355.0,68.35,2286.65,TARGET_HIT_+25%,89.33,12345.17
5,2026-04-03,HCLTECH,BEARISH,PE,350,12.61,11.1,15.76,11.1,-528.5,50.22,-578.72,STOP_LOSS_HIT_-12%,87.37,11766.45
6,2026-04-16,BAJAJFINSV,BEARISH,PE,500,12.47,10.97,15.59,10.97,-750.0,54.43,-804.43,STOP_LOSS_HIT_-12%,77.5,10962.02
7,2026-05-07,LT,BULLISH,CE,300,12.68,15.85,15.85,11.16,951.0,51.45,899.55,TARGET_HIT_+25%,79.75,11861.57
8,2026-05-14,MARUTI,BEARISH,PE,100,12.79,11.26,15.99,11.26,-153.0,42.96,-195.96,STOP_LOSS_HIT_-12%,76.42,11665.61
9,2026-05-27,HINDUNILVR,BULLISH,CE,300,12.48,15.6,15.6,10.98,936.0,51.27,884.73,TARGET_HIT_+25%,77.81,12550.34
10,2026-06-15,FINNIFTY,BULLISH,CE,25,7.93,9.91,9.91,6.98,49.5,40.6,8.9,TARGET_HIT_+25%,79.38,12559.24
11,2026-06-22,ADANIENT,BULLISH,CE,300,11.93,14.91,14.91,10.5,894.0,50.77,843.23,TARGET_HIT_+25%,75.26,13402.47
12,2026-06-24,CHOLAFIN,BULLISH,CE,625,12.47,15.59,15.59,10.97,1950.0,63.46,1886.54,TARGET_HIT_+25%,84.25,15289.009999999998
13,2026-07-28,JSWSTEEL,BULLISH,CE,675,12.56,15.7,15.7,11.05,2119.5,65.52,2053.98,TARGET_HIT_+25%,83.27,17342.989999999998
14,2026-08-03,LTIM,BULLISH,CE,150,12.69,15.86,15.86,11.17,475.5,45.73,429.77,TARGET_HIT_+25%,80.84,17772.76
